SIGHTINGDATE,LAT,LON,Presence,Season,SOURCE,SOURCE_DETAIL,PACKAGE_ID,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,Water_Mass_M_WK,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Water_Mass_is_observed,Any_env_missing,Year,Month,DayOfYear,Month_sin,Month_cos
2006-12-23,31.03,-81.17,1,Winter,Visual,RWSAS sightings,,17.5919994,0.0,2.1895061599999996,34.41697,114.4,1,1,1,0,1,1,2006,12,357,-2.4492935982947064e-16,1.0
2020-08-16,42.437835,-70.54602,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_11_northatlanticrightwhale_1d,21.030721,0.470027681111111,0.48914018,30.185215,72.0,1,1,1,1,1,0,2020,8,229,-0.8660254037844384,-0.5000000000000004
2003-01-25,30.66,-80.99,1,Winter,Visual,RWSAS sightings,,16.103,0.0,0.6115910999999999,34.41697,241.0,1,1,1,0,1,1,2003,1,25,0.4999999999999999,0.8660254037844387
2019-07-03,42.4708617,-70.2424117,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_04_northatlanticrightwhale_1d,18.540747777777774,0.1552177885714285,1.6694193249999998,34.41697,77.56666666666666,1,1,1,0,1,1,2019,7,184,-0.4999999999999998,-0.8660254037844388
2012-01-06,42.7,-69.19,1,Winter,Visual,RWSAS sightings,,46.88090727272727,0.37489019,0.5523401856666669,32.86788,200.2,1,1,1,1,1,0,2012,1,6,0.4999999999999999,0.8660254037844387
2019-09-07,31.36749,-80.895,0,Fall,Acoustic,SanctSound/NOAA daily product,sanctsound_gr03_02_northatlanticrightwhale_1d,28.388261777777775,0.193018064,1.9505873800000004,34.41697,166.4,1,1,1,0,1,1,2019,9,250,-1.0,-1.8369701987210294e-16
2010-04-13,41.87,-70.25,1,Spring,Visual,RWSAS sightings,,8.41,0.19630066,14.595420207017543,34.41697,248.0,1,1,1,0,1,1,2010,4,103,0.8660254037844387,-0.4999999999999998
2013-01-05,41.75,-70.33,1,Winter,Visual,RWSAS sightings,,4.618461492307692,0.0,5.512919323913044,33.146062,51.0,1,1,1,1,1,0,2013,1,5,0.4999999999999999,0.8660254037844387
2019-08-30,31.36749,-80.895,0,Summer,Acoustic,SanctSound/NOAA daily product,sanctsound_gr03_02_northatlanticrightwhale_1d,28.36344366666667,0.5418445413793103,1.0770167766666667,37.962734,138.33333333333334,1,1,1,1,1,0,2019,8,242,-0.8660254037844384,-0.5000000000000004
2019-12-09,42.4709883,-70.2423467,0,Winter,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_07_northatlanticrightwhale_1d,8.482442444444446,0.0,0.6689652189999999,34.41697,248.0,1,1,1,0,1,1,2019,12,343,-2.4492935982947064e-16,1.0
