Id,Date,GROUPSIZE,Lat,Lon,CERTAINTY,CATEGORY,MOM_CALF,DUPLICATE,Presence,SST,Chlorophyll,Salinity,Bathymetry
,2002-04-11,,43.49538,-67.9778,,,,,0,9.091,,32.262673933168095,-222.0
,2002-04-11,,42.28317,-69.50036,,,,,0,11.305,,32.27003910298968,-233.0
,2002-04-11,,42.36796,-67.2366,,,,,0,10.118,,32.60455925667041,-323.0
,2002-04-11,,43.08662,-69.88735,,,,,0,11.161999999999999,,31.709252165651126,-179.0
8353.0,2002-04-12,2.0,42.65,-69.76,Definite,Dedicated Eg Aerial,No,,1,11.294,,32.078812866210924,-240.0
8352.0,2002-04-12,3.0,42.84,-69.79,Definite,Dedicated Eg Aerial,No,,1,11.231,,32.042673953247046,-257.0
,2002-04-12,,43.44135,-68.51666,,,,,0,9.964,,32.44346374577229,-163.0
,2002-04-12,,41.59798,-66.43126,,,,,0,9.854,,32.44048385561165,-92.0
,2002-04-12,,40.65765,-71.05207,,,,,0,14.652,,32.678224133158906,-66.0
,2002-04-12,,41.7005,-67.31438,,,,,0,10.883,,32.880826425938416,-45.0
,2002-04-12,,42.20983,-69.85889,,,,,0,11.427,,32.00005048350249,-185.0
,2002-04-12,,42.23311,-70.33367,,,,,0,11.948,,31.35715884104496,-51.0
,2002-04-12,,43.91099,-66.52455,,,,,0,7.963999999999999,,32.00577424058689,-86.0
,2002-04-12,,42.42384,-66.68095,,,,,0,9.549999999999999,,32.46884679799432,-336.0
8357.0,2002-04-14,1.0,43.55,-69.88,Definite,Dedicated Eg Aerial,No,,1,10.312999999999999,,31.366917869567907,-86.0
8356.0,2002-04-14,2.0,43.58,-69.91,Definite,Dedicated Eg Aerial,No,,1,10.115,,31.089969351196324,-83.0
8355.0,2002-04-14,7.0,42.52,-70.01,Definite,Dedicated Eg Aerial,No,,1,11.402,,31.590992942810047,-142.0
8354.0,2002-04-14,2.0,42.26,-70.0,Definite,Dedicated Eg Aerial,No,,1,11.634,,31.811404781341555,-146.0
,2002-04-14,,40.96512,-69.76344,,,,,0,11.354,,32.69553281770038,-34.0
,2002-04-14,,42.99971,-68.42619,,,,,0,10.36,,32.603591660794415,-197.0
,2002-04-14,,44.88804,-66.89936,,,,,0,8.437999999999999,,,-2.0
,2002-04-14,,42.47267,-67.35035,,,,,0,10.186,,32.57992788976081,-331.0
,2002-04-14,,43.11165,-67.54923,,,,,0,10.038,,32.466935820305004,-184.0
,2002-04-14,,41.56288,-70.29515,,,,,0,12.107,,32.29763279125483,-9.0
,2002-04-14,,43.77065,-67.07497,,,,,0,9.264,,32.33855196592401,-134.0
,2002-04-14,,43.50824,-67.44878,,,,,0,9.712,,32.42084110334795,-218.0
,2002-04-14,,42.24789,-66.94943,,,,,0,10.147,,32.546916506075746,-246.0
,2002-04-14,,41.6018,-69.07791,,,,,0,10.886,,32.667989476081786,-157.0
,2002-04-14,,43.29238,-67.23012,,,,,0,9.661,,32.65025837333955,-222.0
